SEQUENCIA,NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,NU_IDADE,TP_ESTADO_CIVIL,TP_COR_RACA,IN_TREINEIRO,TP_SEXO,TP_NACIONALIDADE,TP_ESCOLA,TP_ENSINO,TP_LINGUA,CO_ESCOLA,NO_MUNICIPIO_ESC,SG_UF_ESC,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_ENEM,Q024,Q025
5864,190002916788,Maceió,17,1,3,0,F,1,2,1,1,27041042,Satuba,AL,Maceió,AL,"482,6","507,6","529,8","519,2",660,"539,84",B,B
5865,190002916798,Santa Luzia do Norte,17,1,3,0,F,1,2,1,1,27040984,Santa Luzia do Norte,AL,Pilar,AL,"422,6","511,2","475,3","454,3",260,"424,68",A,B
5866,190002916809,Marechal Deodoro,17,1,5,0,M,1,2,1,0,27354024,Marechal Deodoro,AL,Marechal Deodoro,AL,"494,8","513,5","540,8","583,1",760,"578,44",B,A
5867,190002916815,São José da Laje,17,1,3,0,M,1,2,1,0,27023583,São José da Laje,AL,União dos Palmares,AL,"340,2","514,3","415,8","509,3",480,"451,92",A,A
5868,190002916816,Craíbas,19,1,3,0,M,1,2,1,1,27018016,Craíbas,AL,Arapiraca,AL,"439,9","505,2","465,3","549,6",300,452,A,B
5869,190002916828,Igaci,17,1,3,0,F,1,2,1,0,27012611,Igaci,AL,Igaci,AL,"464,9","474,1","538,8",474,700,"530,36",B,B
5870,190002916835,Taquarana,18,1,3,0,F,1,2,1,0,27047636,Arapiraca,AL,Arapiraca,AL,"657,4","655,8","617,8","799,9",960,"738,18",B,B
5871,190002916843,Rio Largo,21,1,3,0,M,1,2,1,1,27037223,Maceió,AL,Rio Largo,AL,"399,3","563,6","516,7","599,9",620,"539,9",B,B
5872,190002916848,Maceió,18,1,0,0,F,1,2,1,0,27049140,Maceió,AL,Maceió,AL,"697,6","746,7","672,3","822,6",860,"759,84",B,B
5873,190002916851,Arapiraca,17,1,1,0,F,1,2,1,0,27047636,Arapiraca,AL,Arapiraca,AL,"631,7","685,8","619,1",829,880,"729,12",C,B
5874,190002916860,Maceió,17,1,3,0,F,1,2,1,1,27036448,Maceió,AL,Maceió,AL,"442,9","445,4","510,4","377,7",580,"471,28",B,B
5875,190002916864,Piaçabuçu,18,1,1,0,M,1,2,1,0,27045757,Piaçabuçu,AL,Penedo,AL,"508,2","541,8","539,5","408,5",700,"539,6",B,B
5876,190002916865,Japaratinga,21,1,1,0,M,1,2,1,0,27032280,Japaratinga,AL,Porto Calvo,AL,"529,4","534,5","519,8","574,3",600,"551,6",A,B
5877,190002916872,Coruripe,18,1,3,0,F,1,2,1,1,27226328,Coruripe,AL,Coruripe,AL,"373,5","497,4","517,6","509,2",520,"483,54",A,B
5878,190002916877,Maceió,20,1,3,0,F,1,2,1,1,27041042,Satuba,AL,Maceió,AL,399,"499,7","487,5","530,4",560,"495,32",B,B
5879,190002916889,Maceió,17,1,1,0,M,1,3,1,0,27218198,Maceió,AL,Maceió,AL,"501,8","545,7","513,3","637,4",620,"563,64",A,B
5880,190002916899,Maceió,22,1,3,0,M,1,2,1,1,27226271,Maceió,AL,Maceió,AL,"471,5","454,6","542,7","452,7",580,"500,3",A,A
5881,190002916901,Maceió,17,1,1,0,F,1,2,1,0,27036561,Maceió,AL,Maceió,AL,"344,2","493,1","514,4",425,520,"459,34",A,B
5882,190002916906,Maceió,18,1,3,0,F,1,3,1,1,27226620,Maceió,AL,Maceió,AL,"363,7","437,8","459,8","453,4",580,"458,94",B,B
5883,190002916916,Maceió,18,1,3,0,M,1,2,1,1,27041042,Satuba,AL,Maceió,AL,"484,9","471,5","494,6","629,7",640,"544,14",B,B
5884,190002916919,Maceió,16,1,2,0,M,1,2,1,1,27226174,Rio Largo,AL,Rio Largo,AL,"433,9","455,5","518,1","496,1",440,"468,72",B,B
5885,190002916921,Rio Largo,18,1,1,0,M,1,2,1,1,27040240,Rio Largo,AL,Rio Largo,AL,390,"546,6","516,6","423,5",380,"451,34",A,B
5886,190002916923,Coruripe,20,1,2,0,F,1,2,1,1,27050572,Coruripe,AL,Coruripe,AL,445,"518,5",525,"425,2",580,"498,74",A,A
5887,190002916932,Anadia,17,1,1,0,F,1,2,1,0,27041212,Anadia,AL,Boca da Mata,AL,"453,9","377,5","435,5","365,3",560,"438,44",A,A
5888,190002916953,Pilar,17,1,3,0,F,1,2,1,0,27039668,Pilar,AL,Pilar,AL,"393,1","412,3","454,3","363,3",560,"436,6",A,A
5889,190002916959,Paripueira,17,1,2,0,F,1,2,1,0,27039560,Paripueira,AL,São Luís do Quitunde,AL,"518,7",495,"569,2",526,800,"581,78",A,B
5890,190002916960,Formiga,16,1,3,0,F,1,2,1,0,27018962,Girau do Ponciano,AL,Arapiraca,AL,347,"394,6","423,9","459,7",780,"481,04",A,A
5891,190002916969,Pilar,17,1,3,0,F,1,2,1,1,27039960,Pilar,AL,Pilar,AL,444,"414,8","502,9","440,2",0,"360,38",A,A
5892,190002916976,Maceió,18,1,2,0,F,1,2,1,1,27036782,Maceió,AL,Maceió,AL,"455,3","435,3","509,5",434,540,"474,82",A,B
5893,190002916982,São Sebastião,18,1,3,0,M,1,2,1,0,27020320,São Sebastião,AL,Arapiraca,AL,"527,9","488,8","495,5","464,9",580,"511,42",A,B
5894,190002916987,Igaci,18,1,4,0,F,1,2,1,0,27012620,Igaci,AL,Igaci,AL,"511,8","451,3","507,7","447,9",560,"495,74",A,B
5895,190002916988,Palmeira dos Índios,17,0,1,0,M,1,3,1,1,27220923,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"498,8",445,"387,5","419,8",620,"474,22",D,B
5896,190002916991,Traipu,17,1,3,0,F,1,2,1,1,27022200,Traipu,AL,Traipu,AL,"367,1","415,7","427,7","442,8",340,"398,66",A,A
5897,190002917003,Messias,18,1,4,0,M,1,2,1,1,27030105,Messias,AL,Rio Largo,AL,381,"442,5","478,4","500,6",580,"476,5",A,B
5898,190002917022,Maceió,17,1,3,0,M,1,2,1,0,27036782,Maceió,AL,Maceió,AL,"361,2","359,5","430,4","384,2",320,"371,06",B,B
5899,190002917023,Arapiraca,19,1,3,0,F,1,2,1,0,27047636,Arapiraca,AL,Arapiraca,AL,"527,2","520,2","489,7","600,7",600,"547,56",B,B
5900,190002917031,Traipu,18,1,1,0,M,1,2,1,0,27022200,Traipu,AL,Traipu,AL,"435,3","413,1","406,5","555,4",600,"482,06",B,B
5901,190002917035,Girau do Ponciano,18,1,3,0,F,1,2,1,1,27018997,Girau do Ponciano,AL,Girau do Ponciano,AL,"373,3","497,2","481,2","479,1",320,"430,16",A,A
5902,190002917051,Maceió,19,1,3,0,F,1,2,1,1,27225569,Maceió,AL,Maceió,AL,"462,2","500,3","517,1",408,640,"505,52",A,B
5903,190002917061,Palmeira dos Índios,16,1,4,0,F,1,3,1,1,27220923,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"506,6","567,3","584,6","511,8",580,"550,06",A,B
5904,190002917068,Maceió,17,1,3,0,F,1,2,1,1,27036553,Maceió,AL,Maceió,AL,"533,3","415,4","397,1","467,7",660,"494,7",B,B
5905,190002917070,Maceió,17,1,1,0,M,1,3,1,0,27220885,Maceió,AL,Maceió,AL,"613,9","629,4","629,5","639,5",700,"642,46",C,B
5906,190002917072,Maceió,17,1,1,0,M,1,2,1,0,27220044,Maceió,AL,Maceió,AL,"495,7","549,7","562,3","562,5",780,"590,04",C,B
5907,190002917084,Delmiro Gouveia,18,0,3,0,M,1,2,1,0,27003213,Delmiro Gouveia,AL,Delmiro Gouveia,AL,"478,4","418,6","420,2","467,2",580,"472,88",A,B
5908,190002917116,Maceió,17,1,3,0,F,1,2,1,1,27036782,Maceió,AL,Maceió,AL,"515,6","560,8","510,9","473,8",580,"528,22",A,B
5909,190002917120,Maceió,16,3,1,0,F,1,2,1,0,27220044,Maceió,AL,Maceió,AL,"489,9",371,"529,5","381,2",560,"466,32",A,B
5910,190002917410,Piranhas,18,1,1,0,F,1,2,1,0,27004376,Piranhas,AL,Canindé de São Francisco,SE,"537,9","601,6","564,4","519,2",820,"608,62",C,B
5911,190002920169,Arapiraca,19,1,3,0,F,1,2,1,0,27047636,Arapiraca,AL,Arapiraca,AL,"503,9","544,6",609,"670,1",840,"633,52",B,B
5912,190002920185,Ibateguara,18,1,3,0,F,1,2,1,0,27022838,Ibateguara,AL,União dos Palmares,AL,"440,3","369,7","508,6",414,480,"442,52",A,A
5913,190002920186,Delmiro Gouveia,17,1,3,0,F,1,2,1,0,27003221,Delmiro Gouveia,AL,Delmiro Gouveia,AL,"488,2","485,2","497,7","551,5",800,"564,52",A,A
5914,190002920189,Arapiraca,19,1,1,0,M,1,3,1,0,27016315,Arapiraca,AL,Arapiraca,AL,"531,2","515,3","555,6","552,5",480,"526,92",B,B
5915,190002920194,Maceió,19,1,2,0,F,1,2,1,1,27226271,Maceió,AL,Maceió,AL,"426,5","490,4","519,1",436,620,"498,4",A,B
5916,190002920199,Maceió,17,1,3,0,M,1,2,1,0,27038297,Maceió,AL,Maceió,AL,"357,5","438,7","478,8","501,1",440,"443,22",B,B
5917,190002920201,Maceió,19,1,3,0,F,1,2,1,0,27037037,Maceió,AL,Maceió,AL,"369,3","455,9","450,4","396,1",560,"446,34",A,B
5918,190002920210,Viçosa,17,1,3,0,F,1,2,1,1,27025519,Viçosa,AL,Viçosa,AL,"372,7","464,4","325,8","400,3",640,"440,64",A,B
5919,190002920211,Palmeira dos Índios,17,1,1,0,M,1,2,1,1,27013928,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"427,3","377,1","429,9","431,9",340,"401,24",A,B
5920,190002920217,Satuba,18,1,3,0,F,1,2,1,1,27041158,Satuba,AL,Pilar,AL,"520,5","543,4","512,6","397,8",480,"490,86",C,B
5921,190002920226,União dos Palmares,18,0,2,0,F,1,2,1,1,27024059,União dos Palmares,AL,União dos Palmares,AL,"419,4","372,5","456,4","422,8",580,"450,22",A,A
5922,190002920229,Maceió,18,1,2,0,F,1,2,1,0,27036782,Maceió,AL,Maceió,AL,358,"409,7","392,9","402,3",480,"408,58",A,B
5923,190002920230,Craíbas,17,1,3,0,M,1,3,1,0,27224821,Arapiraca,AL,Arapiraca,AL,588,"618,5","589,3","788,9",840,"684,94",A,B
5924,190002920231,União dos Palmares,17,1,1,0,F,1,2,1,1,27024059,União dos Palmares,AL,União dos Palmares,AL,"345,2","381,8","377,5","395,5",240,348,A,A
5925,190002920246,União dos Palmares,19,1,3,0,F,1,2,1,1,27047733,Murici,AL,União dos Palmares,AL,"469,7","467,3","488,4",432,540,"479,48",A,B
5926,190002920255,Arapiraca,18,1,3,0,F,1,2,1,0,27047636,Arapiraca,AL,Arapiraca,AL,"605,2","645,7","677,5","714,3",920,"712,54",A,A
5927,190002920257,Marechal Deodoro,17,1,3,0,M,1,2,1,0,27041042,Satuba,AL,Maceió,AL,"504,1","575,7","553,8",543,800,"595,32",A,B
5928,190002920265,Delmiro Gouveia,18,1,4,0,F,1,2,1,0,27003221,Delmiro Gouveia,AL,Delmiro Gouveia,AL,"453,5",558,"553,5","444,2",640,"529,84",B,A
5929,190002920267,Maceió,19,1,3,0,F,1,2,1,0,27038564,Maceió,AL,Maceió,AL,"445,6","496,6","520,2","446,4",640,"509,76",B,B
5930,190002920268,Feliz Deserto,19,1,3,0,F,1,2,1,0,27050572,Coruripe,AL,Coruripe,AL,"509,1","528,8","515,8","461,3",680,539,B,A
5931,190002920271,Campo Grande,18,1,3,0,F,1,2,1,0,27220087,Girau do Ponciano,AL,Girau do Ponciano,AL,"393,9",407,"389,6","424,6",380,"399,02",A,A
5932,190002920277,Girau do Ponciano,19,1,3,0,F,1,2,1,1,27018962,Girau do Ponciano,AL,Girau do Ponciano,AL,"340,7","412,8","400,8","392,2",460,"401,3",A,A
5933,190002920336,Arapiraca,17,1,3,0,M,1,3,1,1,27235009,Arapiraca,AL,Arapiraca,AL,"592,5",607,593,735,860,"677,5",A,B
5934,190002920337,Maceió,16,1,3,0,F,1,2,1,0,27226930,Maceió,AL,Maceió,AL,"460,6","531,1","510,5","491,3",800,"558,7",C,B
5935,190002920339,Barra de São Miguel,20,1,1,0,F,1,2,1,0,27219640,Marechal Deodoro,AL,São Miguel dos Campos,AL,548,"596,1","571,5","626,8",780,"624,48",B,B
5936,190002920343,Penedo,18,1,2,0,F,1,2,1,0,27045145,Penedo,AL,Penedo,AL,"376,7","416,2","376,7","520,6",0,"338,04",A,A
5937,190002920347,Lagoa da Canoa,18,1,3,0,F,1,2,1,1,27019608,Lagoa da Canoa,AL,Girau do Ponciano,AL,"469,6",536,"461,1","543,7",560,"514,08",A,B
5938,190002920360,Santana do Ipanema,16,1,3,0,F,1,3,1,1,27007081,Santana do Ipanema,AL,Santana do Ipanema,AL,"524,6","586,2","502,8","518,5",780,"582,42",B,B
